id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"3C 181.0" 1.381999 nan nan nan nan 0.16500000492669642 0.0033000000985339284 0.16599999798927456 0.0033199999597854912 0.24500000290572643 0.004900000058114529 0.26699999580159783 0.005339999916031957 0.29399999766610563 0.0058799999533221126 nan nan nan nan nan nan 0.2885349979854072 0.017312099879124434 0.34 0.0102 0.4775 0.014325 0.45297777635583447 0.027178666581350066 0.689 0.020669999999999997 1.03 0.0309 nan nan 1.291666660991808 0.18132911858881243 nan nan 4.885000000000001 0.19540000000000002 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"NAME LRG J0239-0134" 1.0626 nan nan nan nan nan nan 0.021500000002561137 0.001 0.10299999848939478 0.0020599999697878957 0.17699999443721026 0.0035399998887442052 0.24199999461416155 0.01 0.2229999954579398 0.060811184 0.37799999699927866 0.08202439 0.4330000083427876 0.13336791 0.6938541659422723 0.04163124995653634 0.5055 0.015164999999999998 0.4935 0.014804999999999999 0.6009375029855581 0.03605625017913349 0.443 0.01329 0.551 0.01653 nan nan 1.1916666509956122 0.1748006021771736 nan nan 2.4949999999999997 0.09979999999999999 nan nan nan nan nan nan nan nan nan nan 50.30000023543835 5.030000023543835 nan nan 118.5000017285347 11.85000017285347 111.00000143051147 7.770000100135804 74.10000264644623 5.8 36.60000115633011 3.8
"7C 1049+3827" 1.018 nan nan nan nan 0.007949999599077273 0.00087 0.009329999556939583 0.00036 0.015400000847876072 0.0005 0.023799999326001853 0.0008 0.040499999158782884 0.0034999999999999996 nan nan nan nan nan nan 0.9334523771501899 0.056007142629011394 1.0100000072270632 0.030300000216811895 2.090000081807375 0.06270000245422125 2.318095200959416 0.13908571205756495 nan nan nan nan nan nan 7.771249912511558 0.46627499475069345 17.412500352784992 1.5842032992926411 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2XMM J103440.9+574715" 1.083677 0.0016388666602662133 0.00035163876 nan nan 0.04821999937121291 0.0018533752928648456 0.050999999984924216 0.0010259142386664516 0.06553749881277326 0.001349073664861606 0.06757499886589358 0.0015435349419327473 0.06710000161547214 0.004001249713222204 nan nan nan nan nan nan 0.19855555583893636 0.016254338742586118 0.20450000229664148 0.006135000068899244 0.2846666603383297 0.008539999810149891 0.28800000008361204 0.029494618527624934 0.3975 0.011925 0.5770000000000001 0.017310000000000002 nan nan 0.6793333257728567 0.15300081931247042 nan nan 2.085000038705766 0.08340000154823064 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2XMM J103417.3+575022" 1.100466 nan nan nan nan 0.005976249951800128 0.0011342398101592648 0.008818750075079151 0.0005512712601343224 0.014150000083645864 0.0007778174843167724 0.015362500448645733 0.0011022703536136688 0.01928750043589389 0.0035724641879961946 nan nan nan nan nan nan 0.1528809524373639 0.014440274514575555 0.17125000347895547 0.005137500104368664 0.1900000006039627 0.005700000018118881 0.18173809505562252 0.024540221901481578 0.23 0.00694200259291222 0.27599999999999997 0.011222094278698608 nan nan nan nan nan nan 0.8112499890513718 0.03251019070999123 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2XMM J134329.2+000132" 2.347 nan nan nan nan 0.003423124929587592 0.0009037589791344164 0.007613708388494918 0.00037863868785504526 0.011072041611252342 0.0005753279661237442 0.01850000004803102 0.0008746427582946653 0.02814999970723875 0.003974606989763713 nan nan nan nan nan nan 0.12858333452546503 0.013978916480667672 0.13000000035390258 0.006 0.15300000086426735 0.01 0.15324999943127232 0.02513329454686258 nan nan nan nan nan nan 0.625874991469551 0.18501891887254562 3.70625004850328 1.1888655483437658 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"NVSS J131706+465033" 1.02584 nan nan 0.029400000130408444 0.0062032254 0.015275000237124914 0.00304959 0.02038571463864563 0.0013304135 0.030228571371740794 0.0017804493 0.03217142875655554 0.0023086792999999998 0.030771429010201246 0.008886506 nan nan nan nan nan nan 0.219566667474263 0.0153844634697877 0.21600000036414713 0.007 0.28700000257231295 0.012 0.3163999968538992 0.024799546632160076 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"[VV2006c] J093605.3+345237" 1.17 nan nan 0.011836666393113168 0.0031957002000000006 0.008735000164961093 0.0016835974 0.01340000017080456 0.0006403124 0.02550000014404456 0.0010488087999999999 0.03809999907389283 0.0014594519 0.051633333593296506 0.004828043000000001 nan nan nan nan nan nan 0.2396833345737153 0.022037877310726192 0.2519999979995191 0.009000000000000001 0.44100001105107367 0.015000000000000001 0.4646666676422271 0.033433292371102194 nan nan nan nan nan nan 1.5123809415909153 0.239174103093157 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"[VV2006c] J145116.0+350455" 1.0253 0.0015499999790336005 0.00041999999999999996 0.0038749999475840013 0.0011515642000000002 nan nan 0.008783749990470824 0.0009617693 0.030962499977249536 0.0019131126 0.06355000004987232 0.0036193921 0.11862500377901597 0.008485282 nan nan nan nan nan nan 0.5812051304136522 0.03487230782481913 0.6399999838322401 0.019199999514967203 1.0499999625608325 0.031499998876824975 1.1301282128753762 0.06780769277252258 nan nan nan nan nan nan 2.953666654011856 0.19350323230241048 9.141666574958297 1.2671965721648122 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"SDSS J155145.90+085735.7" 2.685 nan nan 0.009839999620453455 0.00199 nan nan 0.003056666628253879 0.0009628084000000001 0.017233333387088753 0.0016062379 0.053122222501163684 0.0031064448999999997 0.07830000120318598 0.010137061 nan nan nan nan nan nan 0.18912499942261882 0.018430917817831436 nan nan nan nan 0.14754166614528125 0.031696766157230806 nan nan nan nan nan nan nan nan 2.03999993391335 0.122399996034801 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
