id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"1WGA J1208.5+4413" 0.61628 nan nan 0.041599999349273276 0.0041599999349273276 0.014793750267472205 0.0019045997341701484 0.026692856798555504 0.001157583733684199 0.021007143004680984 0.0008674676305071577 0.027271428345037357 0.0011000000045677273 0.02714999988841425 0.0040215046817077835 nan nan nan nan nan nan 0.19077777202862004 0.020999999999999998 0.19999999494757503 0.006999999999999999 0.24199999461416155 0.011 0.25077777293821174 0.03651027 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1WGA J1323.1+6527" 0.59117 0.029999999242136255 0.00834386 0.040099999750964344 0.0066468033 0.03632500011008233 0.0019377822107863514 0.05263000093691517 0.0010526000187383033 0.0619500016910024 0.0013095800652093107 0.0937699995120056 0.0023584953406782473 0.1019200004520826 0.00582129726469163 nan nan nan nan nan nan 0.41701250347614405 0.028440113999999996 nan nan nan nan 0.4807142873427698 0.03588872 nan nan nan nan nan nan 1.3049999834038317 0.22181073 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1WGA J1359.7+0318" 0.78618 nan nan nan nan 0.0059761111970146885 0.0019431931871368427 0.01816187511849421 0.0009142756727738139 0.0376250003455425 0.0013856406534246395 0.05503749980562134 0.0022388612602738615 0.08147499875121866 0.007067178081223721 nan nan 0.3110000106971711 0.103237595 nan nan 0.3971818183675747 0.03867816 0.4149999876972288 0.012449999630916864 0.5510000046342611 0.018 0.5856363568454981 0.06460650000000001 nan nan nan nan nan nan 1.1479999870061874 0.3687818 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1WGA J1405.0+4343" 0.5571 nan nan 0.015066667098532585 0.004805205 0.027835713808599394 0.0015953056330496867 0.05492499925215573 0.0013009611440897545 0.07754166836093646 0.0015866632559104184 0.10750000001280569 0.0023452080289270713 0.11716666570767606 0.0047696959415204085 0.21899999410379678 0.07212489 nan nan nan nan 0.3650999957850824 0.023311155 nan nan nan nan 0.5887999897822738 0.035482389999999996 nan nan nan nan nan nan 1.6750000067986548 0.23194827000000004 5.355000030249357 1.5192762 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2E   962" 0.7751896146766974 0.19350000366102904 0.019350000366102904 0.5959999980404973 0.05959999980404973 1.025000005029142 0.020500000100582838 1.3500000350177288 0.042426407 1.4650000375695527 0.029300000751391053 1.3049999834038317 0.02828427 1.3699999544769526 0.042426407 1.769999973475933 0.15937377 1.339999958872795 0.15874507999999998 1.7999999690800905 0.21166011 2.7704166676352417 0.1662250000581145 3.000000026077032 0.09000000078231096 4.699999932199717 0.1409999979659915 4.9490000384300945 0.29694000230580564 nan nan nan nan nan nan 10.569166628109913 0.6341499976865947 22.266666321953135 1.6619942559309049 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2E  2503" 0.652 nan nan nan nan 1.5587500092806295 0.03117500018561259 1.8987500225193799 0.06946222115992012 1.9749999919440597 0.07778174701073758 2.0012500463053584 0.09552487111063014 1.9199999660486355 0.03839999932097271 1.8500000005587935 0.20688161 1.8400000408291817 0.21000001 2.3300000466406345 0.25455846 4.450499977245927 0.26702999863475557 4.989999928027391 0.14969999784082172 6.8333333579202495 0.2050000007376075 6.911000006124378 0.41466000036746264 9.23 0.33414068893207244 11.700000000000001 0.35100000000000003 nan nan 12.725000082887709 0.7635000049732625 31.867857320393835 1.91207143922363 28.220000000000002 3.5432783986020637 nan nan nan nan nan nan 40.95 9.567152136346532 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2E  2628" 0.8169 0.06439999924623407 0.011981651999999999 0.1496666688278007 0.01496666688278007 0.17242857263356978 0.007937254999999999 0.2100000007582518 0.006 0.22183333203429356 0.007348469999999999 0.20099999771142998 0.007810250000000001 0.21449999864368388 0.014696939999999997 nan nan nan nan nan nan 0.4450000065844506 0.038223032 nan nan nan nan 0.7216999831143767 0.06429618999999999 nan nan nan nan nan nan 1.0933333542197943 0.36249135 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2E  3129" 0.907 0.1849999971454963 0.01849999971454963 0.47400000039488077 0.04740000003948808 0.33079999266192317 0.010440307 0.4672499999287538 0.014 0.5692500126315281 0.012489996 0.5209999944781885 0.010816654 0.5644999910145998 0.021633308 0.8319999906234443 0.15134067999999998 nan nan 0.9769999887794256 0.23133094 1.4112500211922452 0.084852814 1.4700000174343586 0.04410000052303076 1.879999996162951 0.05639999988488853 1.9522222509193752 0.1171333350551625 nan nan nan nan nan nan 3.5400000342633575 0.38935847 12.014285794326238 2.4289917 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 28.89999933540821 7.800000000000001 37.90000081062317 8.3 nan nan
"2E  3648" 0.55517 0.2503333380445838 0.02503333380445838 0.46266666807544726 0.04626666680754473 0.5471110990684894 0.030066592 0.8108125075523276 0.016216250151046552 0.7052499968267512 0.0592199291059906 0.7120000082068145 0.02177154 0.6665000109933317 0.032893768 0.9491000033449382 0.17045529 1.1269999900832772 0.25298222 1.5574999997625127 0.19798990999999996 3.048461557437594 0.6843975 nan nan nan nan 4.6846154145896435 0.32419132 nan nan nan nan nan nan 9.602500048155585 0.7563729300000002 37.01818158680743 5.6753852 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2E  3786" 0.805 nan nan 0.28750000637955964 0.028750000637955964 0.35434999590506777 0.008602325442548719 0.3954166653178012 0.009041570852158232 0.39938888706577325 0.007987777741315465 0.3824444494158443 0.008831760699720165 0.39174999902671614 0.012144957974105303 nan nan nan nan nan nan 1.4235714167755629 0.11224972000000001 1.550000044517219 0.04650000133551657 2.369999885559082 0.07109999656677246 2.524000018214186 0.18734993000000003 nan nan nan nan nan nan 5.500000003459198 0.5730620000000001 14.56153836960976 3.8196859999999995 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
