main_id otype_txt
"2MASS J15003448+4652338" Sy1
"2MASX J21130774-0555410" Sy1
"SDSS J130955.97+530636.7" Sy1
"2MASX J01142750-0116339" Sy1
"3XMM J123113.1+120307" Sy1
"2MASS J01162298+1429408" Sy1
"[VV2006] J135121.4+481355" Sy1
"2MASS J01385931+1321082" Sy1
"2MASS J01402290+2402516" Sy1
"2SLAQ J014234.40-011417.3" Sy1
"2XMMi J082912.8+500652" Sy1
"2MASX J11400874+0307114" Sy1
"2MASS J11090673+5001285" Sy1
"[VV2006] J122954.1+524950" Sy1
"[VV2006] J105134.6+531606" Sy1
"2MASS J02084411+1403329" Sy1
"2MASS J14172175+5341032" Sy1
"2MASS J14360548+5116498" Sy1
"LEDA 2816087" Sy1
"3XMM J021727.4-094028" Sy1
"2MASS J08013157+3544362" Sy1
"3XMM J124210.6+331702" Sy1
"PB  3894" Sy1
"2MASS J07510143+2914192" Sy1
"2SLAQ J022331.90-001605.5" Sy1
"2MASS J02234747-0836557" Sy1
"[VV2006] J135246.5+534039" Sy1
"[VV2006] J024320.1-085307" Sy1
"2MASS J02454610-0858423" Sy1
"PB  6882" Sy1
"2SLAQ J024727.53-001041.5" Sy1
"2MASS J02541690-0845444" Sy1
"PB  9362" Sy1
"PB  9379" Sy1
"2MASS J12305003+0115226" Sy1
"2MASS J08404694+4006470" Sy1
"2MASSI J0259103-002239" Sy1
"2MASS J09094784+3124435" Sy1
"2MASX J09303302+0344432" Sy1
"SDSS J031145.92-081000.9" Sy1
"2MASS J07505172+2454095" Sy1
"2MASS J14211403+2824527" Sy1
"Mrk 1502" Sy1
"PHL  4106" Sy1
"2MASS J02305738-0100339" Sy1
"SDSS J161324.75+441019.4" Sy1
"[VV2006] J162937.4+383009" Sy1
"2MASX J13512953-1813468" Sy1
"2MASX J07362309+3926173" Sy1
"2SLAQ J220759.39+001722.6" Sy1
"[VV2006] J221319.9-082705" Sy1
"2MASS J22193220-0045517" Sy1
"2MASS J10233966+5233496" Sy1
"2MASX J02222615-0857023" Sy1
"2MASS J13280433+5354551" Sy1
"1RXS J172755.7+581206" Sy1
"[VV2006] J173506.3+543008" Sy1
"[VV2003c] J205528.8-052114" Sy1
"[VV2006] J210422.9-053650" Sy1
"[VV2006] J211643.9+103737" Sy1
"2SLAQ J214337.32-004724.1" Sy1
"6dFGS gJ215101.2-083716" Sy1
"SDSS J091449.05+085321.1" Sy1
"2MASS J23055548+0059462" Sy1
"2SLAQ J230822.69-002733.0" Sy1
"2MASX J16201273+4009065" Sy1
"2MASS J10074455+5007467" Sy1
"NGC  4051" Sy1
"[VV2006] J223432.3-090026" Sy1
"Mrk  359" Sy1
"PB  7263" Sy1
"2MASX J14345060+0338423" Sy1
"6dFGS gJ231429.2-104815" Sy1
"2MASS J23510746+1433226" Sy1
"LAMOST J120841.79+025540.7" Sy1
"2MASS J23390381-0912211" Sy1
"2MASS J23411421-1028291" Sy1
"2MASX J08320213+4614257" Sy1
"SDSS J235540.61-084751.0" Sy1
"2MASS J23565142+1518475" Sy1
"2MASX J10235976+0629080" Sy1
"2E  2182" Sy1
"SDSS J100821.48+033929.3" Sy1
"LEDA   52450" Sy1
"QSO J2155-0922" Sy1
"2MASX J14075902+5348002" Sy1
"2MASX J16183642-5927175" Sy1
"NGC  4748" Sy1
"2MASS J00101001+0051273" Sy1
"2MASS J16321485+3334126" Sy1
"LAMOST J092115.44+254911.5" Sy1
"2MASS J09393007+5141036" Sy1
"2MASSI J0816361+294135" Sy1
"2MASS J11020594+0844360" Sy1
"Ton  83" Sy1
"2MASS J09561349+5459058" Sy1
"Mrk 1239" Sy1
"2MASS J09591292+4450590" Sy1
"[VV2006] J082848.6+434421" Sy1
"LAMOST J083943.58+433018.1" Sy1
"2MASS J15473216+1024511" Sy1
"LAMOST J150146.26+483234.3" Sy1
"[VV2006] J163002.6+324801" Sy1
"LAMOST J164206.24+303900.2" Sy1
"2MASX J14183818+6207185" Sy1
"2E  1210" Sy1
"[VV2006] J100853.5+062429" Sy1
"2MASX J08020303+4359398" Sy1
"SDSS J091512.23+013412.1" Sy1
"[VV2006c] J122917.2+610130" Sy1
"2MASX J09304781+4044403" Sy1
"2MASS J09002962+4319377" Sy1
"2MASS J09021012+4446258" Sy1
"2MASS J07464479+2940591" Sy1
"2MASS J08590047+3832118" Sy1
"2MASS J09033546+0132242" Sy1
"SDSS J140608.86+610413.3" Sy1
"2SLAQ J145504.39-003921.5" Sy1
"SDSS J154548.41+432054.8" Sy1
"SDSS J145600.68+430734.8" Sy1
"2MASS J09145142+4219570" Sy1
"2QZ J133248.8+013400" Sy1
"2SLAQ J090901.23+001505.2" Sy1
"[VV2006] J083437.0+532818" Sy1
"[VV2006] J143648.0+511134" Sy1
"3XMM J091302.6+530322" Sy1
"2MASSI J0928207+390446" Sy1
"[VV2006] J141342.0+575047" Sy1
"2MASSI J0849594+431646" Sy1
"[VV2006] J083722.4+042659" Sy1
"[VV2006] J090144.9+492247" Sy1
"[VV2006] J205751.9-072813" Sy1
"[VV2006] J081951.5+364951" Sy1
"[VV2006] J085310.3+503242" Sy1
"[VV2006] J141452.7+602602" Sy1
"[VV2006] J124108.8+632359" Sy1
"2MASX J14482512+3559462" Sy1
"2MASSI J1702310+324719" Sy1
"2MASSI J1716019+311214" Sy1
MCG+04-22-042 Sy1
"[VV2006] J100919.2+054116" Sy1
"MGC  4526" Sy1
"LBQS 1434+0020" Sy1
"2MASS J13345044+0102188" Sy1
"2MASX J16195129+4058472" Sy1
"2MASSI J1232200+495721" Sy1
"Mrk 1044" Sy1
"ESO 499-41" Sy1
"2MASX J03231532-4931064" Sy1
"SDSS J101910.84+020458.9" Sy1
"[VV2006] J102031.2+061244" Sy1
"[VV2006] J102427.1+565224" Sy1
"2MASX J13445288+0005205" Sy1
"2MASS J10312373+4234386" Sy1
"[VV2006] J103129.0+091607" Sy1
"2QZ J103338.6+004225" Sy1
"2MASS J10361564+0319172" Sy1
"2MASS J10385959+4227422" Sy1
"SDSS J104202.11+524016.7" Sy1
"2dFGRS TGN364Z258" Sy1
"1WGA J1056.6+5758" Sy1
"2MASS J11004181+6053189" Sy1
"RX J1105.6+0202" Sy1
"[VV2006c] J110547.8+635314" Sy1
"SDSS J110711.32+080538.4" Sy1
"2QZ J111307.7+003209" Sy1
"6C 170204+454510" Sy1
"RX J1119.7+5951" Sy1
"2MASX J10201270+3428402" Sy1
"2MASS J11280573-0058513" Sy1
"SDSS J113222.27+085221.2" Sy1
"2MASX J11322343+6419590" Sy1
"2MASS J11362541+1005230" Sy1
"2MASS J11364802+0451411" Sy1
"2E  2294" SyG
"[VV2006] J114233.4+622423" Sy1
"2MASS J14303928+4935391" Sy1
"2MASS J11433097+6432485" Sy1
"2QZ J115306.9-004513" Sy1
"[VV2006] J135418.2+585936" Sy1
"2MASS J11561234+1017273" Sy1
"SDSS J115636.54+020827.1" Sy1
"FBQS J1159+2838" Sy1
"1WGA J1207.4+6538" Sy1
"2MASS J12132547+0923197" Sy1
"2MASS J15360771+3648068" Sy1
"2MASS J16051848+3756534" Sy1
"2MASS J16232414+4325334" Sy1
"2MASX J16194054+2543233" Sy1
"2MASS J17185029+3042017" Sy1
"2MASS J17280067+5453029" Sy1
"2SLAQ J204527.70-003236.2" Sy1
"2MASS J20541880+0049162" Sy1
"2MASS J23363371-0926169" Sy1
"6dFGS gJ235808.5-102843" Sy1
"2MASS J12280129+6239482" Sy1
"2XMM J123126.4+105111" Sy1
"2MASX J01100897-1008434" Sy1
"[VV2006] J123514.6+034108" Sy1
"2QZ J124002.0+004953" Sy1
"SDSS J124205.82+590024.2" Sy1
"2MASS J08471687+3348591" Sy1
"2MASX J16180940+3619580" Sy1
"2SLAQ J002752.40+002615.6" Sy1
"2MASS J07364276+3209155" Sy1
"2MASS J08074244+3753320" Sy1
"2MASS J08323740+3656140" Sy1
"2MASS J09074140+5008142" Sy1
"2MASS J09150856+5303102" Sy1
"2MASS J09593167+5044491" Sy1
"2MASS J10025350+5137094" Sy1
"2MASS J10131485-0052338" Sy1
"2MASS J10085285+4514518" Sy1
"2MASX J11101208+0113279" Sy1
"2QZ J111022.4-005545" Sy1
"LBQS 1133+0039" Sy1
"LBQS 1222+1022" Sy1
"2MASS J13305909+6021282" Sy1
"2E  3160" Sy1
"[VV2006c] J145624.0+421800" Sy1
"2MASS J14530759+3803193" Sy1
"[VV2006] J125947.1+624109" Sy1
"2MASS J13033349-0138111" Sy1
"SDSS J101435.46+433056.4" Sy1
"2QZ J131123.9+012643" Sy1
"[VV2003c] J131009.4+023343" Sy1
"[VV2006] J115655.9+084849" Sy1
"[VV2006] J125809.3+055118" Sy1
"SDSS J031532.28+005503.5" Sy1
"[VV2006] J081021.1+440426" Sy1
"[VV2006] J092416.5+404234" Sy1
"[VV2006] J102401.0+500354" Sy1
"2QZ J110747.8+013932" Sy1
"SDSS J111601.30+104750.6" Sy1
"[VV2006] J112148.2+050052" Sy1
"PB  7009" Sy1
"2MASX J15242937+3515221" Sy1
"2MASX J05295547+4434388" Sy1
"2MASS J08332567+3912048" Sy1
"SDSS J035429.35-055807.4" Sy1
"2MASX J13202456+6900113" Sy1
"[VV2006] J073553.0+392424" Sy1
"SDSS J035827.45-050535.1" Sy1
"2SLAQ J233811.52+002045.7" Sy1
"CTS   11" SyG
"2MASS J11171007+6522073" Sy1
"NGC  4253" Sy1
"Mrk  493" Sy1
"SDSS J152829.40+033027.7" Sy1
"2MASS J01521932+1412066" Sy1
"2MASS J08585874+5339182" Sy1
"2E  3600" Sy1
"2E  4017" Sy1
"4U 0708-49" Sy1
"2QZ J113134.7-002015" Sy1
"[VV2006c] J125224.2+645901" Sy1
"2MASSI J1716541+302701" Sy1
"2MASX J14222018+2942550" Sy1
"2MASS J11003653+0641211" Sy1
"2MASS J14441159+5353020" Sy1
"[VV2006] J160452.4+473320" Sy1
"SDSS J100545.19+601723.4" Sy1
"2MASS J08012578+2455463" Sy1
"[VV2003c] J230853.7+002303" Sy1
"2MASS J10083836+5650010" Sy1
"2MASS J11362939+5243480" Sy1
"2MASX J11554439+0406314" Sy1
"SDSS J115606.78+051402.1" Sy1
"2MASX J08322525+3046090" Sy1
"[HB91] 0116-004" Sy1
"LAMOST J132459.27+540915.3" Sy1
"6dFGS gJ020039.1-084555" Sy1
"[VV2003c] J152844.0+000740" Sy1
"2MASS J12410912+6350024" Sy1
"2QZ J110044.8+013551" Sy1
"2MASS J09355448+3946499" Sy1
"2dFGRS TGN368Z253" Sy1
"[VV2006] J172823.6+630934" Sy1
"2MASS J15034692+4203231" Sy1
"2MASX J10143750+4406389" Sy1
"2MASS J14004605+5319204" Sy1
"US 1428" Sy1
"[VV2006] J163825.8+313537" Sy1
"2MASS J13220675+5612134" Sy1
"2MASS J00141691+1450384" Sy1
"2MASS J09150506+0639075" Sy1
"USNO-A2.0 0900-06347017" Sy1
"CAIRNS J013556.99+003056.8" Sy1
"2MASX J13442643+4416194" Sy1
"SDSS J083710.63+471400.5" Sy1
"USNO-A2.0 0900-07473272" Sy1
"2MASX J11495809+5751081" Sy1
"[VV2006] J113411.3+552720" Sy1
"2SLAQ J231508.83-011035.3" Sy1
"6dFGS gJ034000.5-051747" Sy1
"SDSS J142214.89+431357.4" Sy1
"SDSS J113055.88+024800.0" Sy1
"2MASS J09410986+0814043" Sy1
"2SLAQ J033502.22-005637.9" Sy1
"[VV2006] J122432.1-012217" Sy1
"[VV2006] J160015.6+552300" Sy1
"LAMOST J083052.73+481959.5" Sy1
"2MASX J09461688+0254598" Sy1
"2MASS J08520643+4012173" Sy1
"SDSS J131555.11+600021.4" Sy1
"2MASS J17030288+1910340" Sy1
"[VV2010c] J233033.0+000027" Sy1
"QSO J1435+3131" Sy1
"[VV2006] J002017.3-104724" Sy1
"SDSS J170002.14+383257.8" Sy1
"SDSS J091926.50+403548.4" Sy1
"SDSS J074438.13+284053.0" Sy1
"SDSS J075601.62+285033.1" Sy1
"2MASS J13202647+0511136" Sy1
